time;signal
0,011877207;0,024434609
0,01386085;0,024434609
0,01587501;0,024434609
0,01788917;0,024434609
0,019811778;0,024434609
0,021825938;0,024434609
0,023779063;0,024434609
0,025793223;0,024434609
0,027776866;0,024434609
0,029760508;0,024434609
0,031652598;0,024434609
0,033666758;0,024434609
0,035619883;0,024434609
0,037603526;0,024434609
0,039556651;0,024434609
0,041540293;0,024434609
0,043493418;0,024434609
0,045477061;0,024434609
0,047460703;0,024434609
0,049444346;0,024434609
0,051366953;0,024434609
0,053381114;0,024434609
0,055303721;0,024434609
0,057287364;0,024434609
0,059209971;0,024434609
0,061224131;0,024434609
0,063146739;0,024434609
0,065160899;0,024434609
0,067144541;0,024434609
0,069128184;0,024434609
0,071020274;0,024434609
0,073003916;0,024434609
0,074957041;0,005497787
0,076940684;0,001832596
0,078893809;0,000610865
0,080877451;0,001832596
0,082830576;-0,00122173
0,084814219;-0,002443461
0,086797862;-0,004276057
0,088781504;-0,005497787
0,090673594;-0,007330383
0,092657237;-0,004276057
0,094610362;-0,007330383
0,096594004;-0,007941248
0,098547129;-0,007330383
0,100530772;-0,007330383
0,102483897;-0,004886922
0,104467539;-0,005497787
0,106451182;-0,000610865
0,108404307;-0,00122173
0,110326914;-0,002443461
0,112341075;0
0,1142942;0,001832596
0,116277842;0,00122173
0,11820045;0,002443461
0,12021461;0,00122173
0,122167735;0,00122173
0,124181895;0,003054326
0,126165537;0,002443461
0,12814918;0,002443461
0,130071787;0,00122173
0,13205543;0,001832596
0,134008555;0,00122173
0,135992198;0,00122173
0,137914805;0
0,139928965;0
0,14188209;0
0,14389625;0,001832596
0,145879893;-0,001832596
0,147863535;-0,00122173
0,149786143;0
0,151800303;-0,002443461
0,15372291;-0,00122173
0,155706553;-0,001832596
0,157659678;-0,002443461
0,159673838;0
0,161596446;-0,003665192
0,163610606;0
0,165594248;0,000610865
0,167577891;-0,002443461
0,169469981;0,000610865
0,171453623;0,000610865
0,173406748;0
0,175390391;-0,002443461
0,177343516;0,000610865
0,179327158;-0,00122173
0,181280283;-0,000610865
0,183263926;0
0,185247569;0,00122173
0,187200694;-0,001832596
0,189184336;-0,002443461
0,191167979;0,000610865
0,193121104;0
0,195104746;0,000610865
0,197057871;-0,003054326
0,199041514;0
0,200994639;0,000610865
0,202978282;0
0,204961924;-0,000610865
0,206945567;-0,000610865
0,208868174;-0,002443461
0,210851817;0,00122173
0,212804942;0,00122173
0,214788584;0,00122173
0,216741709;-0,00122173
0,218725352;-0,000610865
0,220678477;-0,001832596
0,222662119;0
0,224645762;-0,000610865
0,226629405;-0,002443461
0,228552012;-0,000610865
0,230566172;-0,00122173
0,23248878;-0,000610865
0,23450294;0,00122173
0,236425547;0,001832596
0,238439707;0
0,240362315;-0,001832596
0,242376475;-0,000610865
0,244360117;-0,00122173
0,246313242;0,00122173
0,248205332;-0,000610865
0,250188975;-0,004276057
0,2521421;0,00122173
0,254125742;-0,003665192
0,256078867;0
0,25806251;0,00122173
0,260015635;0
0,261999278;0,00122173
0,263952403;0
0,265936045;0,00122173
0,267858653;0,002443461
0,269842295;-0,000610865
0,27179542;0,001832596
0,273779063;0
0,275732188;-0,000610865
0,27771583;-0,002443461
0,279668955;0,000610865
0,281652598;0,00122173
0,283636241;0
0,285589366;-0,001832596
0,287573008;0,00122173
0,289587168;0,001832596
0,291540293;-0,000610865
0,293523936;-0,000610865
0,295477061;-0,00122173
0,297460703;0
0,299383311;-0,000610865
0,301397471;-0,000610865
0,303381114;0
0,305334239;-0,00122173
0,307256846;0,000610865
0,309240489;0,001832596
0,311193614;0,000610865
0,313177256;0,00122173
0,315130381;0
0,317114024;-0,002443461
0,319067149;0,00122173
0,321081309;-0,000610865
0,323034434;0,000610865
0,325018076;0,002443461
0,326910166;-0,000610865
0,328924326;0,001832596
0,330877451;0,000610865
0,332861094;0,002443461
0,334783701;0,000610865
0,336797862;-0,001832596
0,338750987;0,002443461
0,340765147;-0,002443461
0,342748789;-0,001832596
0,344732432;-0,002443461
0,346655039;0,001832596
0,348638682;-0,00122173
0,350591807;0,005497787
0,35257545;0,000610865
0,354528575;0
0,356542735;-0,002443461
0,358465342;-0,000610865
0,360448985;-0,003054326
0,362432627;0,00122173
0,36441627;-0,003665192
0,366338877;0,001832596
0,36832252;-0,003054326
0,370275645;0,00122173
0,372259287;0,000610865
0,374212412;0,000610865
0,376196055;0,00122173
0,378118662;0,000610865
0,380102305;-0,001832596
0,38205543;0,000610865
0,384008555;-0,000610865
0,385992198;-0,000610865
0,38797584;0,001832596
0,389928965;0,004276057
0,391912608;0,002443461
0,393865733;-0,001832596
0,395849375;-0,002443461
0,3978025;0,000610865
0,399786143;0,000610865
0,401769785;0,000610865
0,40372291;-0,002443461
0,405645518;0,001832596
0,40762916;0,000610865
0,409582285;0,001832596
0,411596446;-0,000610865
0,413519053;-0,002443461
0,415502696;0,00122173
0,417455821;0,00122173
0,419439463;0,00122173
0,421423106;0,002443461
0,423376231;0,00122173
0,425298838;0
0,427312998;0,00122173
0,429266123;-0,00122173
0,431280283;0,00122173
0,433202891;-0,00122173
0,435217051;-0,001832596
0,437170176;0,000610865
0,439184336;0
0,441167979;-0,000610865
0,443151621;-0,000610865
0,445074229;0
0,447057871;0,001832596
0,449010996;0
0,450994639;0,002443461
0,452917246;-0,00122173
0,454931407;-0,000610865
0,456854014;-0,004276057
0,458868174;0,000610865
0,460821299;-0,001832596
0,462804942;0,000610865
0,464697032;0,002443461
0,466680674;0
0,468603282;0,000610865
0,470617442;-0,000610865
0,472570567;-0,000610865
0,474554209;-0,00122173
0,476476817;0,002443461
0,478490977;-0,00122173
0,480444102;0,00122173
0,482397227;-0,003054326
0,484380869;0,00122173
0,48639503;0
0,488348155;0,003054326
0,490331797;-0,002443461
0,492284922;-0,000610865
0,494268565;0,000610865
0,49622169;-0,001832596
0,498205332;0,000610865
0,500158457;-0,000610865
0,502111582;0,000610865
0,50403419;0,00122173
0,506017832;0,00122173
0,507970957;0
0,5099546;0
0,511907725;-0,000610865
0,513891367;-0,00122173
0,515844492;-0,003054326
0,517828135;0
0,519811778;0,000610865
0,52179542;0,000610865
0,523718028;-0,000610865
0,52570167;0,000610865
0,527654795;0,000610865
0,529638438;-0,000610865
0,531591563;-0,002443461
0,533575205;0,000610865
0,53552833;0,00122173
0,537511973;-0,00122173
0,539495616;-0,000610865
0,541479258;-0,002443461
0,543401866;-0,000610865
0,545416026;-0,000610865
0,547338633;0
0,549322276;-0,000610865
0,551275401;0,002443461
0,553289561;0,000610865
0,555212168;0,001832596
0,557195811;-0,001832596
0,559179453;0,003054326
0,561163096;-0,000610865
0,563055186;0,000610865
0,565069346;0,000610865
0,566991953;0
0,569006114;0,001832596
0,570928721;0
0,572942881;-0,000610865
0,574896006;0,000610865
0,576879649;-0,002443461
0,578832774;-0,001832596
0,580785899;-0,000610865
0,582769541;0,000610865
0,584753184;-0,000610865
0,586706309;0
0,588689951;-0,000610865
0,590643076;0,00122173
0,592626719;-0,00122173
0,594579844;0
0,596563487;0,001832596
0,598547129;0
0,600500254;0
0,602422862;0,000610865
0,604406504;-0,001832596
0,606359629;-0,002443461
0,608343272;-0,000610865
0,610265879;0
0,612280039;0,001832596
0,614202647;0,000610865
0,616216807;0,002443461
0,61820045;0
0,620184092;0,000610865
0,622076182;-0,00122173
