"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.449692150E-1,-4.806799889E0,2.131340027E1,-4.544499969E1,5.042434287E1
7.549698670E-1,-5.087399960E0,2.114259911E1,-4.607939911E1,5.095294062E1
7.649821960E-1,-4.892199993E0,2.098399925E1,-4.576219940E1,5.058103142E1
7.749822370E-1,-5.075200081E0,2.097179985E1,-4.607939911E1,5.088108752E1
7.849690540E-1,-5.172800064E0,2.098399925E1,-4.522539902E1,5.012407407E1
7.949823600E-1,-4.916599751E0,2.149639893E1,-4.501799774E1,5.012871673E1
8.049993280E-1,-4.721399784E0,2.139879990E1,-4.534740067E1,5.036454110E1
8.149822380E-1,-4.782400131E0,2.076440048E1,-4.565240097E1,5.038028774E1
8.249821980E-1,-4.684800148E0,2.078879929E1,-4.533519745E1,5.009392833E1
8.349690960E-1,-5.197199821E0,2.152079964E1,-4.512779999E1,5.026603261E1
8.449822800E-1,-4.965399742E0,2.070339966E1,-4.575000000E1,5.046135603E1
8.549839480E-1,-4.892199993E0,2.121579933E1,-4.512779999E1,5.010550962E1
8.649821170E-1,-4.977600098E0,2.094739914E1,-4.618919754E1,5.096088699E1
8.749822800E-1,-4.806799889E0,2.132559967E1,-4.501799774E1,5.004504618E1
8.849703580E-1,-4.245599747E0,2.130119896E1,-4.588419724E1,5.076539914E1
8.949822810E-1,-4.416399956E0,2.098399925E1,-4.577439880E1,5.054827790E1
9.049816710E-1,-4.697000027E0,2.102059937E1,-4.511560059E1,4.999344780E1
9.149727190E-1,-5.160599709E0,2.091079903E1,-4.607939911E1,5.086456849E1
9.249821190E-1,-4.904399872E0,2.132559967E1,-4.576219940E1,5.072487786E1
9.349691390E-1,-5.075200081E0,2.089859962E1,-4.565240097E1,5.046435214E1
9.449822820E-1,-4.440799713E0,2.141099930E1,-4.577439880E1,5.072915512E1
9.549762600E-1,-4.892199993E0,2.100839996E1,-4.565240097E1,5.049186275E1
9.649822010E-1,-5.099599838E0,2.149639893E1,-4.598180008E1,5.101398851E1
9.749821610E-1,-5.465600014E0,2.138660049E1,-4.522539902E1,5.032490616E1
9.849854570E-1,-5.368000031E0,2.115480042E1,-4.554259872E1,5.050217128E1
9.949822430E-1,-5.258199692E0,2.091079903E1,-4.543280029E1,5.028965622E1
1.004957015E0,-5.489999771E0,2.177700043E1,-4.544499969E1,5.069147702E1
1.014982365E0,-5.136199951E0,2.052039909E1,-4.532299805E1,5.001641211E1
1.024967676E0,-5.428999901E0,2.069120026E1,-4.499359894E1,4.981991322E1
1.034958928E0,-5.172800064E0,2.111820030E1,-4.554259872E1,5.046646949E1
1.044964015E0,-5.075200081E0,2.110599899E1,-4.565240097E1,5.055059410E1
1.054963893E0,-5.477799892E0,2.141099930E1,-4.533519745E1,5.043527843E1
1.064964056E0,-4.904399872E0,2.138660049E1,-4.479840088E1,4.988322905E1
1.074964056E0,-4.965399742E0,2.082539940E1,-4.511560059E1,4.993765985E1
1.084963853E0,-4.965399742E0,2.083759880E1,-4.554259872E1,5.032880902E1
1.094964016E0,-5.551000118E0,2.114259911E1,-4.554259872E1,5.051684271E1
1.104964098E0,-4.538399696E0,2.139879990E1,-4.545719910E1,5.044663179E1
1.114963976E0,-5.026400089E0,2.175259972E1,-4.512779999E1,5.034837261E1
1.124978543E0,-5.294799805E0,2.149639893E1,-4.576219940E1,5.083609904E1
1.134982327E0,-4.770199776E0,2.064239883E1,-4.500579834E1,4.974319370E1
1.144982409E0,-5.477799892E0,1.972739983E1,-4.561579895E1,4.999977709E1
1.154982247E0,-5.075200081E0,2.098399925E1,-4.576219940E1,5.059905903E1
1.164982206E0,-5.087399960E0,2.142319870E1,-4.468859863E1,4.981873070E1
1.174982695E0,-5.184999943E0,2.130119896E1,-4.490819931E1,4.997370976E1
1.184968982E0,-5.026400089E0,2.188679886E1,-4.609159851E1,5.127116261E1
1.194982166E0,-4.623799801E0,2.137439919E1,-4.588419724E1,5.082916506E1
1.204982370E0,-5.282599926E0,2.130119896E1,-4.554259872E1,5.055467572E1
1.214969431E0,-5.172800064E0,2.110599899E1,-4.596960068E1,5.084707701E1
1.224981719E0,-5.014199734E0,2.160619926E1,-4.523759842E1,5.038263943E1
1.234981923E0,-5.075200081E0,2.098399925E1,-4.522539902E1,5.011409579E1
1.244982045E0,-5.282599926E0,2.138660049E1,-4.576219940E1,5.078849709E1
1.254982249E0,-5.270400047E0,2.116699982E1,-4.489599991E1,4.991462517E1
1.264969310E0,-4.977600098E0,2.086199951E1,-4.532299805E1,5.014153646E1
1.274981599E0,-4.709199905E0,2.121579933E1,-4.459099960E1,4.960487829E1
1.284981802E0,-4.892199993E0,2.102059937E1,-4.576219940E1,5.059622627E1
1.294981925E0,-5.001999855E0,2.131340027E1,-4.598180008E1,5.092746776E1
1.304982698E0,-4.989799976E0,2.092300034E1,-4.618919754E1,5.095205606E1
1.314969962E0,-5.099599838E0,2.148419952E1,-4.576219940E1,5.081097954E1
1.324981600E0,-4.684800148E0,2.083759880E1,-4.490819931E1,4.972825396E1
1.334981559E0,-5.001999855E0,2.139879990E1,-4.533519745E1,5.038063881E1
1.344968946E0,-4.806799889E0,2.128899956E1,-4.490819931E1,4.993068388E1
1.354982333E0,-4.806799889E0,2.127680016E1,-4.523759842E1,5.022198583E1
1.364969231E0,-4.733600140E0,2.147200012E1,-4.598180008E1,5.096841863E1
1.374981520E0,-4.855599880E0,2.050819969E1,-4.510339737E1,4.978433046E1
1.384969231E0,-5.087399960E0,2.128899956E1,-4.565240097E1,5.062849845E1
1.394952589E0,-5.172800064E0,2.119140053E1,-4.490819931E1,4.992574168E1
1.404981968E0,-4.782400131E0,2.092300034E1,-4.500579834E1,4.986145985E1
1.414999343E0,-4.989799976E0,2.110599899E1,-4.544499969E1,5.035483387E1
1.424969029E0,-4.794600010E0,2.104500008E1,-4.565240097E1,5.049774185E1
1.434968989E0,-4.733600140E0,2.166720009E1,-4.566460037E1,5.076544353E1
1.444969314E0,-5.343599796E0,2.082539940E1,-4.489599991E1,4.977853078E1
1.454982213E0,-5.075200081E0,2.104500008E1,-4.511560059E1,5.004065448E1
1.464969356E0,-5.075200081E0,2.092300034E1,-4.565240097E1,5.047446199E1
1.474969152E0,-4.928800106E0,2.172819901E1,-4.555479813E1,5.071141227E1
1.484971838E0,-4.989799976E0,2.108160019E1,-4.554259872E1,5.043273014E1
1.494981726E0,-4.770199776E0,2.072780037E1,-4.468859863E1,4.949209393E1
1.504982377E0,-4.721399784E0,2.131340027E1,-4.598180008E1,5.090067372E1
1.514969438E0,-4.526199818E0,2.119140053E1,-4.501799774E1,4.996180603E1
1.524967689E0,-4.489599705E0,2.071559906E1,-4.437139893E1,4.917431842E1
