"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.719698586E0,6.504013100E1,2.549769070E1,2.202557611E1,3.950000000E1,NaN,NaN,1.075949172E-3,1.742499924E1,6.479508877E0,0.000000000E0
2.575669859E1,6.504013710E1,2.549767290E1,2.202557226E1,3.950000000E1,NaN,NaN,2.394208386E-3,1.952899933E1,4.456759453E0,0.000000000E0
4.590069859E1,6.504012550E1,2.549767870E1,2.202557694E1,3.950000000E1,NaN,NaN,2.873016451E-3,2.199300003E1,6.521719933E0,0.000000000E0
6.625669859E1,6.504012670E1,2.549766890E1,2.202557559E1,3.950000000E1,NaN,NaN,NaN,2.713999939E1,3.860631466E0,0.000000000E0
