"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.256038954E0,-4.726633430E-3,6.098017097E-3,-6.170272827E-3,9.879227847E-3
1.273030633E0,5.417875946E-3,6.153076887E-3,-6.171226501E-3,1.026147024E-2
1.290045892E0,6.085783243E-4,6.156831980E-3,-6.171226501E-3,8.738477221E-3
1.307025049E0,8.759275079E-5,1.427963376E-3,-1.387596130E-3,1.993031589E-3
1.324021947E0,5.001127720E-3,1.434475183E-3,-1.386642456E-3,5.384401065E-3
1.341004674E0,1.432225108E-4,1.100769639E-2,-6.173133850E-3,1.262131031E-2
1.358010849E0,5.005925894E-3,6.175026298E-3,-6.171226501E-3,1.006351233E-2
1.375013068E0,9.864907712E-3,6.127819419E-3,-6.169319153E-3,1.315017391E-2
1.392005815E0,5.154207349E-3,6.131291389E-3,3.400802612E-3,8.701956441E-3
1.409002703E0,5.826797336E-3,1.351371408E-3,-6.169319153E-3,8.592919800E-3
1.425997597E0,4.723407328E-4,-3.526851535E-3,3.403663635E-3,4.924095212E-3
1.442994596E0,5.880635232E-3,1.112252474E-3,-1.095104218E-2,1.247975565E-2
1.459986326E0,5.306143314E-3,5.748659372E-3,-1.375198364E-3,7.943136156E-3
1.476971861E0,5.382455885E-3,5.803450942E-3,-1.375198364E-3,8.033806367E-3
1.493971709E0,5.408067256E-3,5.807250738E-3,-1.376152039E-3,8.053890179E-3
1.510965769E0,1.350410283E-3,5.810797215E-3,-1.094722748E-2,1.246718740E-2
1.527961496E0,5.461670458E-3,1.059737802E-2,-6.160736084E-3,1.341972183E-2
1.544947897E0,6.522685289E-4,5.764305592E-3,-6.159782410E-3,8.461417879E-3
1.561955557E0,1.094487682E-2,5.716755986E-3,-1.572990417E-2,1.999753767E-2
1.578965353E0,6.184209138E-3,9.885132313E-4,-6.159782410E-3,8.784333806E-3
1.595946607E0,1.044386253E-2,5.777359009E-3,-6.159782410E-3,1.343112285E-2
1.612959444E0,9.004287422E-4,9.983479977E-4,8.196830750E-3,8.306353290E-3
1.629947411E0,5.711045116E-3,9.541213512E-4,3.412246704E-3,6.720849012E-3
1.646964684E0,8.516050875E-4,1.535940170E-2,-6.159782410E-3,1.657043666E-2
1.663943434E0,1.522875950E-2,1.060023904E-3,-1.375198364E-3,1.532742434E-2
1.680940453E0,8.998326957E-4,1.058080792E-2,-6.159782410E-3,1.227624187E-2
1.697922957E0,1.049299911E-2,1.067042351E-3,-1.375198364E-3,1.063638943E-2
1.714921188E0,5.681406707E-3,1.063852012E-2,-1.375198364E-3,1.213868457E-2
1.731948339E0,1.048892364E-2,5.856111646E-3,-1.375198364E-3,1.209143223E-2
1.748924270E0,1.046002656E-2,5.808711052E-3,3.411293030E-3,1.244147097E-2
1.765906836E0,1.102883741E-2,5.862668157E-3,-1.094818115E-2,1.660929869E-2
1.782905615E0,5.617726594E-3,1.074986160E-2,-6.164550781E-3,1.360588339E-2
1.799912207E0,5.591686815E-3,-3.445029259E-3,-1.381874084E-3,6.711539616E-3
1.816911109E0,6.814152002E-4,-3.435745835E-3,-1.382827759E-3,3.765752080E-3
1.833904987E0,6.077736616E-4,1.081904769E-2,-6.165504456E-3,1.246734242E-2
1.850900764E0,5.839765072E-4,6.036117673E-3,3.404617310E-3,6.954650541E-3
1.867896482E0,5.942489952E-3,1.155048609E-3,-6.164550781E-3,8.639965883E-3
1.884893299E0,5.869641900E-4,5.892485380E-3,-6.162643433E-3,8.546583235E-3
1.901888956E0,4.624612629E-4,1.067779958E-2,3.406524658E-3,1.121756144E-2
1.918881682E0,5.272969604E-3,5.844011903E-3,-1.377105713E-3,7.990813707E-3
1.935871969E0,1.496308669E-2,5.796030164E-3,3.410339355E-3,1.640482684E-2
1.952872020E0,5.832612514E-4,1.016736031E-3,-1.376152039E-3,1.807689209E-3
1.969860108E0,5.340531468E-3,5.804538727E-3,-6.161689758E-3,1.000901428E-2
1.986858899E0,1.009625569E-2,1.058958471E-2,-1.376152039E-3,1.469583198E-2
2.003852602E0,1.150917262E-3,9.735524654E-4,-1.094722748E-2,1.105052960E-2
2.020844769E0,5.312070251E-3,5.710989237E-3,-6.159782410E-3,9.938632086E-3
2.037841229E0,5.386348814E-3,5.611628294E-3,-6.157875061E-3,9.920814025E-3
2.054844262E0,1.019286364E-2,5.614548922E-3,8.199691772E-3,1.423560937E-2
2.071848474E0,6.080336869E-3,8.860379457E-4,-1.094436646E-2,1.255128347E-2
2.088846358E0,5.505405366E-3,8.921474218E-4,-1.372337341E-3,5.743581204E-3
2.105841985E0,1.080546528E-2,7.961541414E-4,-6.156921387E-3,1.246192691E-2
2.122838709E0,1.261804253E-3,8.025765419E-4,-6.156921387E-3,6.335926139E-3
2.139834121E0,5.422830582E-3,5.692824721E-3,8.197784424E-3,1.135865372E-2
2.156830786E0,5.395393819E-3,5.746215582E-3,1.298141479E-2,1.518704705E-2
2.173826554E0,5.869343877E-4,5.697831511E-3,-6.159782410E-3,8.411462135E-3
2.190822974E0,5.395520478E-3,1.521235704E-2,-6.157875061E-3,1.727561499E-2
2.207794735E0,1.014834270E-2,5.693927407E-3,3.412246704E-3,1.212654511E-2
