"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.091124645E0,5.258902907E-1,-1.235220432E-1,-2.842454910E-1,6.104209959E-1
1.108118989E0,6.890509129E-1,-4.130120277E-1,2.998695374E-1,8.574915947E-1
1.125101900E0,8.833025098E-1,-5.377256870E-1,5.046873093E-1,1.150687411E0
1.142105491E0,7.441040874E-1,-5.885276794E-1,2.111349106E-1,9.719226681E-1
1.159101677E0,3.642792702E-1,-5.808598995E-1,-3.256406784E-1,7.590385109E-1
1.176110498E0,6.101793051E-2,-4.820935726E-1,-8.796577454E-1,1.004955297E0
1.193101240E0,-3.320777416E-2,-3.833498955E-1,-1.174828529E0,1.236237021E0
1.210095453E0,-3.045409918E-2,-2.667601109E-1,-1.500754356E0,1.524582581E0
1.227088830E0,2.812474966E-2,-2.008996010E-1,-1.693731308E0,1.705836274E0
1.244083634E0,-1.360237598E-2,-1.837217808E-1,-1.738101482E0,1.747837372E0
1.261076859E0,3.714555502E-2,-1.792690754E-1,-1.668412209E0,1.678426791E0
1.278065293E0,1.592491865E-1,-2.328636646E-1,-1.423465729E0,1.451151429E0
1.295048712E0,3.696138859E-1,-2.922043800E-1,-1.033971786E0,1.136263825E0
1.312058713E0,5.734778047E-1,-3.282811642E-1,-4.115343094E-1,7.784637455E-1
1.329052477E0,5.765706897E-1,-3.040077686E-1,-2.001838684E-1,6.818563373E-1
1.346034625E0,6.012638807E-1,-2.615246773E-1,-2.318115234E-1,6.954494903E-1
1.363039935E0,7.101420164E-1,-3.036515713E-1,-1.764602661E-1,7.922399799E-1
1.380036883E0,9.779678583E-1,-4.213156700E-1,2.415161133E-1,1.091905700E0
1.397049945E0,9.152901173E-1,-3.905751705E-1,7.492933273E-1,1.245690753E0
1.414033843E0,8.155764341E-1,-4.032752514E-1,7.141962051E-1,1.156664198E0
1.431015268E0,8.010534048E-1,-5.273826122E-1,9.700078964E-1,1.364087349E0
1.448009714E0,9.160882235E-1,-6.477537155E-1,1.857823372E0,2.170324904E0
1.465001689E0,1.034286261E0,-9.637869596E-1,2.866788864E0,3.196421712E0
1.481997813E0,1.013710141E0,-1.185075045E0,3.589348793E0,3.913494074E0
1.498990774E0,6.483900547E-1,-1.154077053E0,3.189694405E0,3.453469835E0
1.515984692E0,1.414161921E-1,-8.250248432E-1,1.423754692E0,1.651587707E0
1.532979097E0,-2.740722895E-2,-5.692555904E-1,-4.026241302E-1,6.977888461E-1
1.549972831E0,-6.103205681E-2,-1.815428734E-1,-1.414978027E0,1.427881488E0
1.566963635E0,3.084237576E-1,-3.390741348E-2,-1.782893181E0,1.809691416E0
1.583947482E0,1.004015207E0,-1.276657581E-1,-1.607689857E0,1.899739919E0
1.600931359E0,1.788578272E0,-3.291318417E-1,-1.054368019E0,2.102149358E0
1.617932855E0,2.262836695E0,-5.196204185E-1,-4.727392197E-1,2.369370730E0
1.634931065E0,2.244980097E0,-7.424875498E-1,8.406352997E-2,2.366070598E0
1.651922826E0,1.387874484E0,-8.044811487E-1,2.400531769E-1,1.622039158E0
1.668932846E0,5.263193846E-1,-8.155890703E-1,-2.353057861E-1,9.987824784E-1
1.685914547E0,1.081509590E-1,-6.627528667E-1,-6.657629013E-1,9.456099794E-1
1.702904099E0,3.953319788E-2,-5.137524605E-1,-1.038600922E0,1.159394816E0
1.719905036E0,1.560140848E-1,-3.924353123E-1,-1.481190205E0,1.540217612E0
1.736912095E0,4.225109220E-1,-3.318774700E-1,-1.724201202E0,1.805970077E0
1.753879606E0,5.778427124E-1,-2.734169960E-1,-1.689335346E0,1.806242776E0
1.770888578E0,6.654850841E-1,-2.302298546E-1,-1.510908127E0,1.666949175E0
1.787884621E0,5.691224337E-1,-1.803874969E-1,-1.180560112E0,1.322936949E0
1.804873340E0,2.265597582E-1,-4.660964012E-2,-8.712787628E-1,9.014590757E-1
1.821862772E0,-7.541674376E-2,1.163949966E-1,-7.243089676E-1,7.374679390E-1
1.838867929E0,-2.828520238E-1,3.417565823E-1,-6.929311752E-1,8.227736277E-1
1.855862386E0,-3.561952412E-1,4.681627750E-1,-5.070905685E-1,7.766545426E-1
1.872856711E0,-2.284342051E-1,6.071927547E-1,3.299331665E-2,6.495796998E-1
1.889850464E0,-2.928034961E-1,9.581222534E-1,4.106082916E-1,1.082742494E0
1.906843822E0,-7.265773416E-2,1.210381269E0,7.859649658E-1,1.445006191E0
