"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.351568862E1,6.503099802E1,2.547073800E1,1.327973946E1,3.075324130E1,0.000000000E0,8.181958771E1,2.661349396E-1,1.483887196E0,3.000000000E0,2.300000000E1
3.451570162E1,6.503099730E1,2.547073974E1,1.330896515E1,3.078246657E1,0.000000000E0,8.181958771E1,2.662973318E-1,1.328787327E0,3.000000000E0,2.100000000E1
3.551571462E1,6.503099586E1,2.547074041E1,1.318410386E1,3.065760467E1,0.000000000E0,8.181958771E1,2.663688663E-1,1.216299295E0,3.000000000E0,2.200000000E1
3.651576762E1,6.503099594E1,2.547074192E1,1.301919220E1,3.049269291E1,0.000000000E0,8.181958771E1,2.664453215E-1,1.139144301E0,3.000000000E0,1.900000000E1
3.751577062E1,6.503099555E1,2.547074326E1,1.282228375E1,3.029578419E1,0.000000000E0,8.181958771E1,2.664740332E-1,1.070360661E0,3.000000000E0,2.100000000E1
3.851571762E1,6.503099537E1,2.547074283E1,1.265706973E1,3.013057014E1,0.000000000E0,8.181958771E1,2.665133009E-1,1.007479191E0,3.000000000E0,2.400000000E1
3.951576162E1,6.503099534E1,2.547074366E1,1.252503935E1,2.999853968E1,0.000000000E0,8.181958771E1,2.665831592E-1,9.588508606E-1,3.000000000E0,2.100000000E1
4.051592262E1,6.503099474E1,2.547074326E1,1.229738454E1,2.977088468E1,0.000000000E0,8.181958771E1,2.666420491E-1,9.188075066E-1,3.000000000E0,2.200000000E1
4.151586662E1,6.503099433E1,2.547074246E1,1.220597116E1,2.967947122E1,0.000000000E0,8.181958771E1,2.667339002E-1,8.824741244E-1,3.000000000E0,2.100000000E1
4.251582362E1,6.503099407E1,2.547074061E1,1.210879069E1,2.958229081E1,0.000000000E0,8.181958771E1,2.667529005E-1,8.482041359E-1,3.000000000E0,2.300000000E1
4.351584662E1,6.503099420E1,2.547074086E1,1.207088919E1,2.954438934E1,1.057649311E-2,8.181958771E1,2.667593144E-1,8.610681295E-1,3.000000000E0,2.000000000E1
4.451578262E1,6.503099423E1,2.547074097E1,1.204438490E1,2.951788505E1,8.785948157E-3,8.181958771E1,2.667774641E-1,8.735278845E-1,3.000000000E0,2.200000000E1
4.551586362E1,6.503099430E1,2.547074133E1,1.206807863E1,2.954157876E1,1.182461902E-2,8.181958771E1,2.667878541E-1,8.808499575E-1,3.000000000E0,2.100000000E1
4.651587162E1,6.503099434E1,2.547074153E1,1.204551552E1,2.951901566E1,1.050462574E-2,8.181958771E1,2.668034254E-1,8.883351088E-1,3.000000000E0,2.100000000E1
4.751659162E1,6.503099444E1,2.547074176E1,1.208568865E1,2.955918881E1,1.260758471E-2,8.181958771E1,2.668179717E-1,8.946674466E-1,3.000000000E0,2.200000000E1
