"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.108336729E0,-4.017548561E-1,-5.153807402E-1,2.483034134E-1,6.990556894E-1
1.125333891E0,-4.205542803E-1,-5.037176609E-1,3.081321716E-1,7.249433218E-1
1.142321380E0,-5.136193633E-1,-5.939998031E-1,6.972494125E-1,1.050141590E0
1.159317901E0,-5.207222104E-1,-7.093550563E-1,8.126497269E-1,1.197804573E0
1.176317098E0,-5.024577975E-1,-7.465621233E-1,5.962457657E-1,1.079503523E0
1.193288148E0,-2.781350017E-1,-7.725987434E-1,7.318401337E-2,8.243929872E-1
1.210285859E0,1.130742729E-1,-7.262859941E-1,-6.494903564E-1,9.808745381E-1
1.227287944E0,2.918072939E-1,-6.214084029E-1,-9.965333939E-1,1.210115162E0
1.244291425E0,3.079794347E-1,-6.256160140E-1,-8.052930832E-1,1.065243483E0
1.261267520E0,1.208839417E-1,-6.231275201E-1,-3.698463440E-1,7.346340258E-1
1.278270205E0,3.063991666E-2,-5.570871830E-1,-6.504154205E-2,5.617075183E-1
1.295253787E0,1.125740856E-1,-5.762777328E-1,-1.664323807E-1,6.103021280E-1
1.312248325E0,2.193665206E-1,-6.313889027E-1,-4.898939133E-1,8.287156708E-1
1.329241967E0,1.055567637E-1,-6.014662981E-1,-6.234703064E-1,8.727079472E-1
1.346233454E0,-1.619639248E-2,-5.536620617E-1,-6.555700302E-1,8.582400982E-1
1.363231787E0,-7.946366072E-2,-5.765563250E-1,-5.527906418E-1,8.026887086E-1
1.380226751E0,-2.135075927E-1,-5.124751329E-1,-3.251008987E-1,6.433559267E-1
1.397224309E0,-2.881967425E-1,-3.781652451E-1,-3.524990082E-1,5.918799420E-1
1.414229855E0,-2.043322921E-1,-4.415479898E-1,-7.555303574E-1,8.986336483E-1
1.431217343E0,-3.379623592E-1,-3.935557604E-1,-8.136835098E-1,9.649795578E-1
1.448190681E0,-4.752436280E-1,-2.435902357E-1,-7.251844406E-1,9.006026770E-1
1.465202267E0,-4.382193387E-1,-1.224737167E-1,-4.797906876E-1,6.612375548E-1
1.482202157E0,-3.443737030E-1,-1.437344551E-1,-1.337718964E-1,3.964186690E-1
1.499179523E0,-3.622977436E-1,-2.677266598E-1,8.768081665E-2,4.589391517E-1
1.516186226E0,-2.370400429E-1,-2.997235060E-1,1.459112167E-1,4.090381952E-1
1.533184661E0,1.124493778E-1,-4.292389154E-1,5.555438995E-2,4.471881029E-1
1.550171265E0,2.338209152E-1,-6.519497633E-1,-1.596832275E-2,6.927955698E-1
1.567169799E0,1.248433292E-1,-7.892785072E-1,-1.250734329E-1,8.088199938E-1
1.584161296E0,5.084782839E-2,-8.058426380E-1,-3.940563202E-1,8.984699452E-1
1.601154786E0,1.883647442E-1,-8.522958755E-1,-7.583017349E-1,1.156248701E0
1.618148814E0,3.363445699E-1,-1.036566973E0,-1.216327667E0,1.633111066E0
1.635123313E0,3.844243884E-1,-1.259956717E0,-1.706235409E0,2.155577025E0
1.652129203E0,3.047414720E-1,-1.386040211E0,-2.228481293E0,2.641988589E0
1.669124086E0,2.411931157E-1,-1.304925680E0,-2.817298412E0,3.114189380E0
1.686110740E0,1.028476954E-1,-1.039127588E0,-3.321601391E0,3.481867257E0
1.703114099E0,1.205338240E-1,-6.777577400E-1,-3.713151455E0,3.776423928E0
1.720114037E0,4.108428955E-2,-3.097980022E-1,-3.775930405E0,3.788840607E0
1.737105004E0,5.056196451E-2,-1.179056168E-1,-3.794993877E0,3.797161674E0
1.754095698E0,2.509395480E-1,4.264521599E-2,-3.760130405E0,3.768735854E0
1.771091802E0,2.939422429E-1,3.151495457E-1,-3.645922661E0,3.671304036E0
1.788059371E0,3.712798655E-1,3.892738819E-1,-3.370018959E0,3.412683794E0
1.805067937E0,4.267176390E-1,1.774659157E-1,-3.051157475E0,3.085959175E0
1.822060258E0,3.603823781E-1,-4.179048538E-2,-2.923436642E0,2.945862132E0
1.839053544E0,1.791508198E-1,8.010387421E-3,-2.904431343E0,2.909962304E0
1.856047512E0,1.753207147E-1,2.049808502E-1,-3.032279968E0,3.044252997E0
1.873038816E0,3.903793693E-1,1.911251545E-1,-3.017128944E0,3.048276881E0
1.890046771E0,5.229055285E-1,-3.265643120E-2,-2.565552711E0,2.618502883E0
1.907030403E0,5.306006670E-1,-2.120542526E-1,-1.720519066E0,1.812923035E0
1.924031167E0,5.279767513E-1,-2.517559528E-1,-1.047351837E0,1.199619265E0
1.941034077E0,6.612977982E-1,-3.957366943E-1,-1.188791275E0,1.416738157E0
1.958023416E0,7.021698356E-1,-7.663787603E-1,-1.664210796E0,1.962135688E0
1.975015990E0,3.722640276E-1,-1.044481039E0,-1.601594925E0,1.947980352E0
1.992010356E0,-2.547218800E-1,-1.074820638E0,-1.344928741E0,1.740389600E0
2.009004558E0,-7.147471905E-1,-1.055402279E0,-8.155851364E-1,1.513247049E0
2.025998109E0,-8.821326494E-1,-1.060612798E0,-2.051353455E-2,1.379666019E0
2.042991488E0,-7.853829265E-1,-1.069404840E0,7.720937729E-1,1.535116233E0
2.059978497E0,-6.628468037E-1,-1.002763748E0,1.145495415E0,1.660439931E0
2.076986015E0,-5.195000768E-1,-8.265612721E-1,1.414817810E0,1.718951222E0
2.093956994E0,-4.328190088E-1,-5.866028070E-1,1.823012352E0,1.963366798E0
2.110926660E0,-3.514206707E-1,-5.403739214E-1,2.394159317E0,2.479415112E0
2.127950982E0,-4.455741644E-1,-3.152615428E-1,2.725101471E0,2.779227267E0
2.144941044E0,-5.676108003E-1,-1.862927675E-1,2.729003906E0,2.793626556E0
2.161933812E0,-4.710528851E-1,-8.122265339E-3,2.620947838E0,2.662954067E0
2.178926814E0,-2.571749091E-1,-4.016235471E-2,2.719029427E0,2.731459861E0
2.195938674E0,-4.026153684E-1,4.362413287E-2,3.057552338E0,3.084254934E0
2.212929612E0,-5.964363217E-1,1.083348244E-1,3.033995628E0,3.093962216E0
2.229897925E0,-5.006216764E-1,2.296865284E-1,2.862414360E0,2.914926060E0
2.246908942E0,-2.745648026E-1,3.672105074E-1,2.755517006E0,2.793403544E0
2.263897122E0,-1.412956715E-1,4.143367410E-1,2.708040237E0,2.743195460E0
2.280890663E0,-2.109371424E-1,3.952281177E-1,2.490034103E0,2.530013751E0
2.297881274E0,-1.389734745E-1,4.074246287E-1,2.349717140E0,2.388823789E0
2.314880602E0,1.342065334E-1,4.643808603E-1,2.718891144E0,2.761526757E0
2.331870045E0,4.236075878E-1,3.409751058E-1,3.297124863E0,3.341667214E0
2.348861063E0,4.171781540E-1,1.699834466E-1,3.593201637E0,3.621329865E0
2.365863138E0,3.765351772E-1,7.122880220E-2,3.596858978E0,3.617215337E0
2.382866119E0,4.977668524E-1,2.333648503E-2,3.398497581E0,3.434836567E0
2.399863301E0,5.776100159E-1,-7.846206427E-3,3.057932854E0,3.112016747E0
2.416854177E0,3.814939260E-1,-7.538370788E-3,2.789145470E0,2.815124668E0
2.433847790E0,1.771086454E-1,-7.605150342E-3,2.624910355E0,2.630889523E0
2.450841259E0,-1.232075691E-2,-5.533716828E-2,2.470642090E0,2.471292443E0
2.467831708E0,-9.743893147E-2,-1.153734177E-1,2.160671234E0,2.165942186E0
2.484828107E0,-1.790884137E-1,-1.748981327E-1,1.605110168E0,1.624512441E0
2.501815788E0,-1.871191263E-1,-1.565607637E-1,1.204064369E0,1.228534023E0
2.518813470E0,-7.128304243E-2,-1.558302641E-1,8.868112564E-1,9.032156707E-1
2.535812645E0,-7.205426693E-3,-2.057732344E-1,7.076683044E-1,7.370135489E-1
2.552791498E0,-1.495299041E-1,-3.384625912E-1,6.514663696E-1,7.492159559E-1
2.569803441E0,-3.008960485E-1,-4.559780955E-1,6.505479813E-1,8.495099361E-1
2.586785578E0,-3.622971177E-1,-4.887199402E-1,6.615095139E-1,8.987219917E-1
2.603785142E0,-3.670660853E-1,-5.780965686E-1,5.891170502E-1,9.033227842E-1
2.620778458E0,-2.909657955E-1,-7.067604065E-1,3.372125626E-1,8.353943253E-1
2.637766567E0,-1.687396169E-1,-8.194063902E-1,8.174705505E-2,8.405846011E-1
2.654766191E0,-1.033282280E-1,-7.763272524E-1,1.053009033E-1,7.902208588E-1
2.671762876E0,-9.135275334E-2,-7.871548533E-1,2.488327026E-2,7.928286485E-1
2.688750973E0,-9.706579149E-2,-7.899876833E-1,-3.460121155E-2,7.966803321E-1
2.705749224E0,-8.462116122E-2,-8.765845895E-1,-1.640768051E-1,8.958138654E-1
2.722740833E0,-5.777707696E-2,-8.499768376E-1,-3.685464859E-1,9.282377537E-1
2.739725432E0,2.481141686E-2,-8.554239273E-1,-4.187726974E-1,9.527519478E-1
2.756725666E0,-6.596097350E-2,-9.372603297E-1,-1.644639969E-1,9.538638173E-1
2.773709310E0,-2.279921770E-1,-8.644440770E-1,2.046966553E-2,8.942387837E-1
2.790693288E0,-1.631586552E-1,-8.449779749E-1,-2.784528732E-1,9.045134203E-1
2.807696574E0,-1.260377169E-1,-7.338533401E-1,-4.440040588E-1,8.669289678E-1
2.824690247E0,-1.976204515E-1,-7.569279671E-1,-4.066896439E-1,8.816973725E-1
2.841684266E0,-3.953315616E-1,-7.525054216E-1,-2.186384201E-1,8.776982465E-1
2.858683605E0,-4.792628288E-1,-6.729090214E-1,-1.393165588E-1,8.377998053E-1
2.875684938E0,-3.323611617E-1,-8.754560947E-1,-2.191362381E-1,9.617213767E-1
2.892678754E0,-4.362179041E-1,-1.194814324E0,-1.471595764E-1,1.280438702E0
2.909672549E0,-7.658936977E-1,-1.312193394E0,1.021728516E-1,1.522788216E0
2.926666507E0,-9.772074223E-1,-1.267885327E0,1.236915588E-1,1.605542634E0
2.943656468E0,-1.016368747E0,-1.269890070E0,-4.929857254E-1,1.699606173E0
2.960656295E0,-8.667352200E-1,-1.123096585E0,-1.385210037E0,1.982771477E0
2.977644494E0,-6.044191122E-1,-1.014610767E0,-1.968501091E0,2.295594480E0
2.994638117E0,-4.451904297E-1,-8.329496384E-1,-2.263604164E0,2.452733869E0
3.011624487E0,-2.556681633E-3,-7.960538864E-1,-2.493631363E0,2.617614506E0
3.028631648E0,4.372426867E-1,-7.464351654E-1,-2.492303848E0,2.638166995E0
3.045619299E0,7.408567667E-1,-7.760903835E-1,-2.560423851E0,2.776140366E0
3.062618933E0,7.510470152E-1,-7.540044785E-1,-2.683094025E0,2.886449015E0
3.079609728E0,7.433315516E-1,-6.801099777E-1,-3.036216259E0,3.199015559E0
3.096603645E0,7.738298178E-1,-6.320564747E-1,-3.412762165E0,3.556016531E0
3.113597136E0,7.068479061E-1,-5.580210686E-1,-3.549092293E0,3.661567639E0
3.130587238E0,5.481559038E-1,-4.507987499E-1,-3.635046005E0,3.703681124E0
3.147582395E0,4.464490116E-1,-2.440705299E-1,-3.746979237E0,3.781367549E0
3.164567808E0,3.421505690E-1,1.646280289E-3,-3.717882156E0,3.733593102E0
3.181572550E0,2.390030622E-1,1.433115005E-1,-3.709651470E0,3.720104122E0
3.198565866E0,9.985685349E-2,1.275804043E-1,-3.661394119E0,3.664976814E0
3.215551005E0,1.075761020E-1,1.008739471E-1,-3.394471169E0,3.397673128E0
3.232550212E0,2.954299450E-1,1.275742054E-1,-3.234070301E0,3.250040729E0
3.249537507E0,3.508383632E-1,1.644165516E-1,-3.029932022E0,3.054604462E0
3.266527131E0,3.269078732E-1,1.003937721E-1,-2.877078533E0,2.897331281E0
3.283521303E0,3.010491431E-1,-1.644995213E-1,-2.536718369E0,2.559810688E0
3.300515180E0,2.354393154E-2,-2.920613289E-1,-2.309419632E0,2.327933241E0
3.317509005E0,-2.234052122E-1,-4.975097179E-1,-2.127039909E0,2.195842568E0
3.334502211E0,-4.859254062E-1,-7.747931480E-1,-1.764162540E0,1.987132958E0
3.351499444E0,-5.139785409E-1,-1.196122408E0,-1.380535126E0,1.897566860E0
3.368503137E0,-2.853113413E-1,-1.285241723E0,-8.576440811E-1,1.571242253E0
3.385470127E0,2.586802244E-1,-1.011696577E0,-4.251909256E-1,1.127489577E0
3.402487849E0,8.564829230E-1,-1.005593181E0,-1.360321045E-2,1.320971495E0
3.419484116E0,1.058270454E0,-1.088904619E0,3.606357574E-1,1.560675422E0
3.436481288E0,8.900465965E-1,-9.263184667E-1,7.202663422E-1,1.472763542E0
3.453468706E0,8.514535427E-1,-4.733543396E-1,9.792442322E-1,1.381288070E0
3.470468411E0,8.688722849E-1,-5.274651647E-1,1.167887688E0,1.548263608E0
3.487459143E0,3.664193153E-1,-5.945412517E-1,1.338529587E0,1.509769476E0
3.504453021E0,-2.166849375E-1,-4.198358655E-1,1.637472153E0,1.704268044E0
3.521446928E0,-1.204108000E-1,-5.828577280E-1,1.832250595E0,1.926490108E0
3.538427315E0,-1.000527143E-1,-4.365447760E-1,1.962771416E0,2.013219689E0
3.555431527E0,-6.828474998E-2,-2.958487272E-1,2.147628784E0,2.168985632E0
3.572431416E0,-2.392091751E-1,-9.165644646E-2,2.411417961E0,2.424986292E0
3.589395884E0,-3.753296137E-1,-5.988758802E-2,2.364647865E0,2.394998616E0
3.606416228E0,-4.891712666E-1,2.247186303E-1,2.175077438E0,2.240702759E0
3.623408773E0,-1.334110498E-1,3.966499865E-1,2.533461571E0,2.567792291E0
