"Time (s)","Illuminance (lx)"
0.000000000E0,1.708499908E1
1.309931400E-1,1.886499977E1
1.472422536E0,2.055624962E1
1.884778666E0,3.150749969E1
2.259767689E0,2.877124977E1
5.321914535E0,1.322249985E1
5.371916733E0,1.494749928E1
5.421912462E0,1.693124962E1
5.442709094E0,1.848124886E1
5.463563831E0,2.006250000E1
5.505230824E0,2.342749977E1
5.546932648E0,2.671624947E1
7.988704233E0,2.926124954E1
8.730729317E0,2.581250000E1
1.051083076E1,1.694249916E1
1.058172855E1,1.860499954E1
